symbol,dimension5_management,capital_allocation_score,governance_score,track_record_score,modifiers,penalties,sector,interpretation
BFN.N0000,79.5,60,70,65,15,0,Financial,Strong Financial management - solid capital allocation and value creation
BIL.N0000,40.0,40,70,50,5,-15,Industrial,"Weak Industrial management - concerning trends, investigate"
BLUE.N0000,0.0,20,45,55,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
BOGA.N0000,37.0,25,70,70,20,-35,Industrial,"Poor Industrial management - value destruction, avoid"
BOPL.N0000,51.5,25,80,75,20,-25,Industrial,"Weak Industrial management - concerning trends, investigate"
BPPL.N0000,17.0,35,55,55,10,-40,Industrial,"Poor Industrial management - value destruction, avoid"
BREW.N0000,73.5,40,80,95,25,-20,Industrial,Strong Industrial management - solid capital allocation and value creation
BRR.N0000,50.0,60,70,60,20,-10,Industrial,"Weak Industrial management - concerning trends, investigate"
BRWN.N0000,39.0,40,65,45,5,-15,Industrial,"Poor Industrial management - value destruction, avoid"
BUKI.N0000,100.0,85,80,85,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CABO.N0000,93.5,55,80,75,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CALF.N0000,100.0,70,80,75,30,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
CALH.N0000,0.0,20,25,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
CALT.N0000,0.0,20,25,50,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
CARE.N0000,19.0,20,60,60,15,-40,Industrial,"Poor Industrial management - value destruction, avoid"
CARG.N0000,100.0,70,90,95,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CARS.N0000,100.0,85,80,95,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CBNK.N0000,44.0,70,35,35,15,-20,Financial,"Weak Financial management - concerning trends, investigate"
CCS.N0000,100.0,85,80,90,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CDB.N0000,100.0,75,90,95,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
CDB.X0000,100.0,75,90,95,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
CERA.N0000,63.0,75,50,60,10,-10,Industrial,Moderate Industrial management - acceptable but room for improvement
CFI.N0000,100.0,70,80,90,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CFIN.N0000,100.0,75,80,90,35,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
CFLB.N0000,100.0,70,90,80,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CFVF.N0000,100.0,80,90,100,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CHL.N0000,100.0,75,90,75,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CHL.X0000,100.0,75,90,75,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CHMX.N0000,40.0,60,80,60,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
CHOT.N0000,50.0,60,90,60,25,0,Industrial,"Weak Industrial management - concerning trends, investigate"
CIC.N0000,43.0,20,80,70,20,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
CIC.X0000,43.0,20,80,70,20,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
CIND.N0000,88.5,55,80,75,20,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CINS.N0000,55.5,50,75,60,10,-15,Financial,Moderate Financial management - acceptable but room for improvement
CINS.X0000,73.5,50,80,65,25,-15,Financial,Strong Financial management - solid capital allocation and value creation
CINV.N0000,98.0,70,70,80,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CIT.N0000,100.0,70,80,95,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CITH.N0000,50.0,70,45,35,10,0,Industrial,"Weak Industrial management - concerning trends, investigate"
CITW.N0000,33.0,70,25,25,10,-20,Industrial,"Poor Industrial management - value destruction, avoid"
CLND.N0000,50.0,60,70,55,15,0,Industrial,"Weak Industrial management - concerning trends, investigate"
COCO.N0000,100.0,70,80,60,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
COCO.X0000,100.0,70,80,60,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
COCR.N0000,100.0,95,80,100,50,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
COLO.N0000,100.0,70,70,95,35,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
COMB.N0000,100.0,85,80,100,45,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
COMB.X0000,100.0,85,80,100,45,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
COMD.N0000,100.0,70,90,90,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CONN.N0000,98.0,70,70,80,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
COOP.N0000,0.0,40,15,20,0,-40,Financial,"Poor Financial management - value destruction, avoid"
CPRT.N0000,52.5,20,90,75,25,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
CRL.N0000,33.0,70,25,25,10,-20,Financial,"Poor Financial management - value destruction, avoid"
CSD.N0000,95.5,60,80,75,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CSF.N0000,0.0,20,25,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
CSLK.N0000,0.0,20,25,45,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
CTBL.N0000,71.0,55,70,60,20,-10,Industrial,Strong Industrial management - solid capital allocation and value creation
CTC.N0000,100.0,80,80,90,35,0,Mature,"Exceptional Mature management - excellent capital allocation, strong track record"
CTEA.N0000,40.0,30,80,60,25,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
CTHR.N0000,100.0,75,90,90,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
CTLD.N0000,40.0,55,55,50,0,-10,Industrial,"Weak Industrial management - concerning trends, investigate"
CWL.N0000,0.0,20,25,40,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
CWM.N0000,87.0,55,80,70,20,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
DFCC.N0000,100.0,75,90,90,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
DIAL.N0000,79.5,50,80,85,30,-20,Industrial,Strong Industrial management - solid capital allocation and value creation
DIMO.N0000,40.0,55,80,65,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
DIPD.N0000,28.5,35,60,55,10,-30,Industrial,"Poor Industrial management - value destruction, avoid"
DIST.N0000,35.0,0,80,100,25,-40,Industrial,"Poor Industrial management - value destruction, avoid"
DOCK.N0000,40.0,20,80,65,20,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
DPL.N0000,1.0,20,55,55,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
EAST.N0000,40.0,55,80,60,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
EBCR.N0000,90.5,60,80,75,20,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
ECL.N0000,84.0,55,80,60,20,0,Industrial,Strong Industrial management - solid capital allocation and value creation
EDEN.N0000,50.0,70,65,55,10,0,Industrial,"Weak Industrial management - concerning trends, investigate"
ELPL.N0000,100.0,65,90,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
EMER.N0000,35.5,25,70,65,20,-35,Industrial,"Poor Industrial management - value destruction, avoid"
EML.N0000,0.0,20,25,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
ETWO.N0000,92.0,75,70,70,20,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
EXT.N0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
FCT.N0000,0.0,20,25,60,5,-40,Industrial,"Poor Industrial management - value destruction, avoid"
GEST.N0000,64.0,40,80,80,20,-20,Industrial,Moderate Industrial management - acceptable but room for improvement
GHLL.N0000,40.0,55,70,60,15,0,Industrial,"Weak Industrial management - concerning trends, investigate"
GLAS.N0000,100.0,85,80,100,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
GRAN.N0000,73.5,40,80,95,25,-20,Industrial,Strong Industrial management - solid capital allocation and value creation
GREG.N0000,100.0,80,80,100,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
GUAR.N0000,99.5,70,70,85,25,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
HAPU.N0000,27.0,20,70,60,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
HARI.N0000,71.0,60,65,75,5,0,Industrial,Strong Industrial management - solid capital allocation and value creation
HASU.N0000,99.5,55,90,85,25,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
HAYC.N0000,38.5,40,65,60,10,-25,Industrial,"Poor Industrial management - value destruction, avoid"
HAYL.N0000,88.5,55,80,75,20,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
HBS.N0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
HDFC.N0000,1.0,20,55,55,0,-40,Financial,"Poor Financial management - value destruction, avoid"
HELA.N0000,0.0,20,25,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
HEXP.N0000,37.5,25,70,55,15,-25,Industrial,"Poor Industrial management - value destruction, avoid"
HHL.N0000,100.0,75,70,85,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
HNB.N0000,100.0,85,80,100,45,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
HNB.X0000,100.0,85,80,100,45,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
HNBF.N0000,76.0,70,55,55,15,0,Financial,Strong Financial management - solid capital allocation and value creation
HNBF.X0000,85.0,70,70,70,15,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
HOPL.N0000,76.5,50,80,75,30,-20,Industrial,Strong Industrial management - solid capital allocation and value creation
HPFL.N0000,70.5,65,60,55,20,-10,Mature,Strong Mature management - solid capital allocation and value creation
HPL.N0000,60.0,35,90,70,35,-30,Industrial,Moderate Industrial management - acceptable but room for improvement
HPWR.N0000,30.5,20,70,55,15,-30,Mature,"Poor Mature management - value destruction, avoid"
HSIG.N0000,50.0,70,80,60,30,0,Industrial,"Weak Industrial management - concerning trends, investigate"
HUNA.N0000,93.0,70,70,80,30,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
HUNT.N0000,40.0,55,70,60,15,0,Industrial,"Weak Industrial management - concerning trends, investigate"
HVA.N0000,0.0,20,45,55,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
INME.N0000,0.0,20,25,35,0,-40,Financial,"Poor Financial management - value destruction, avoid"
JAT.N0000,11.5,40,35,50,10,-40,Industrial,"Poor Industrial management - value destruction, avoid"
JETS.N0000,95.0,70,70,70,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
JFP.N0000,0.0,20,25,30,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
JINS.N0000,100.0,80,80,100,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
JKH.N0000,50.0,75,65,50,10,0,Industrial,"Weak Industrial management - concerning trends, investigate"
JKL.N0000,71.0,70,60,50,10,0,Industrial,Strong Industrial management - solid capital allocation and value creation
KAHA.N0000,0.0,20,15,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
KCAB.N0000,93.0,55,90,80,35,-15,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
KFP.N0000,71.5,75,60,45,10,0,Industrial,Strong Industrial management - solid capital allocation and value creation
KGAL.N0000,43.5,55,55,50,0,-10,Industrial,"Weak Industrial management - concerning trends, investigate"
KHC.N0000,50.0,60,80,65,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
KHL.N0000,50.0,70,70,60,25,0,Industrial,"Weak Industrial management - concerning trends, investigate"
KOTA.N0000,100.0,70,90,75,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
KPHL.N0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
KVAL.N0000,19.0,0,70,60,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
KZOO.N0000,100.0,60,80,90,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LALU.N0000,93.5,70,70,65,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LAMB.N0000,98.0,55,80,90,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LCBF.N0000,37.5,70,25,40,10,-20,Financial,"Poor Financial management - value destruction, avoid"
LCEY.N0000,40.0,55,80,65,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
LDEV.N0000,22.0,0,80,60,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
LFIN.N0000,100.0,65,90,100,35,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
LGIL.N0000,0.0,20,25,30,0,-40,Financial,"Poor Financial management - value destruction, avoid"
LGL.N0000,35.0,20,80,65,20,-30,Industrial,"Poor Industrial management - value destruction, avoid"
LGL.X0000,35.0,20,80,65,20,-30,Industrial,"Poor Industrial management - value destruction, avoid"
LHCL.N0000,66.0,40,80,70,20,-15,Industrial,Moderate Industrial management - acceptable but room for improvement
LHL.N0000,100.0,70,80,65,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LIOC.N0000,30.0,20,70,70,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
LION.N0000,100.0,75,70,100,35,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LITE.N0000,100.0,60,90,85,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LLUB.N0000,36.0,20,70,90,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
LMF.N0000,100.0,70,90,75,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
LOFC.N0000,54.0,60,45,55,0,0,Financial,"Weak Financial management - concerning trends, investigate"
LOLC.N0000,22.5,25,65,60,0,-25,Financial,"Poor Financial management - value destruction, avoid"
LPL.N0000,50.0,60,65,55,0,0,Industrial,"Weak Industrial management - concerning trends, investigate"
LPL.X0000,50.0,60,65,55,0,0,Industrial,"Weak Industrial management - concerning trends, investigate"
LPRT.N0000,34.0,25,70,60,20,-35,Industrial,"Poor Industrial management - value destruction, avoid"
LUMX.N0000,0.0,20,25,25,0,-40,Mature,"Poor Mature management - value destruction, avoid"
LVEF.N0000,65.0,70,45,45,10,0,Industrial,Moderate Industrial management - acceptable but room for improvement
LVEN.N0000,61.0,70,50,60,10,-10,Industrial,Moderate Industrial management - acceptable but room for improvement
LWL.N0000,12.5,0,70,55,15,-40,Industrial,"Poor Industrial management - value destruction, avoid"
MADU.N0000,12.5,20,60,55,0,-30,Industrial,"Poor Industrial management - value destruction, avoid"
MAL.N0000,27.0,20,70,60,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
MAL.X0000,27.0,20,70,60,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
MARA.N0000,100.0,70,80,80,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
MASK.N0000,44.5,20,80,75,20,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
MBSL.N0000,95.0,70,70,70,25,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
MCPL.N0000,100.0,75,80,95,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
MDL.N0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
MEL.N0000,50.0,60,70,65,20,-10,Industrial,"Weak Industrial management - concerning trends, investigate"
MELS.N0000,62.5,40,80,75,20,-20,Industrial,Moderate Industrial management - acceptable but room for improvement
MERC.N0000,54.0,75,35,45,20,-20,Financial,"Weak Financial management - concerning trends, investigate"
MFPE.N0000,0.0,20,25,40,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
MGT.N0000,22.0,0,70,70,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
MHDL.N0000,83.5,70,60,75,25,-10,Industrial,Strong Industrial management - solid capital allocation and value creation
MRH.N0000,40.0,55,60,50,0,0,Industrial,"Weak Industrial management - concerning trends, investigate"
MSL.N0000,41.5,20,80,65,20,-30,Industrial,"Weak Industrial management - concerning trends, investigate"
MULL.N0000,32.0,20,70,60,15,-30,Industrial,"Poor Industrial management - value destruction, avoid"
NAMU.N0000,60.0,35,80,75,30,-30,Industrial,Moderate Industrial management - acceptable but room for improvement
NDB.N0000,100.0,85,70,90,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
NEH.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
NHL.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
NTB.N0000,100.0,85,90,100,50,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
NTB.X0000,100.0,85,90,100,50,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
ODEL.N0000,0.0,20,15,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
OFEQ.N0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
ONAL.N0000,57.5,35,80,65,20,-20,Industrial,Moderate Industrial management - acceptable but room for improvement
OSEA.N0000,100.0,80,70,85,40,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
PABC.N0000,100.0,75,80,95,35,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
PACK.N0000,0.0,0,25,20,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
PALM.N0000,50.0,70,70,60,25,0,Industrial,"Weak Industrial management - concerning trends, investigate"
PAP.N0000,94.5,70,70,85,30,-10,Mature,"Exceptional Mature management - excellent capital allocation, strong track record"
PARA.N0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
PARQ.N0000,100.0,95,80,100,50,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
PEG.N0000,50.0,60,60,50,0,0,Industrial,"Weak Industrial management - concerning trends, investigate"
PHAR.N0000,100.0,70,80,90,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
PINS.N0000,0.0,20,50,55,0,-40,Financial,"Poor Financial management - value destruction, avoid"
PKME.N0000,0.0,20,25,50,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
PLC.N0000,88.5,55,80,75,20,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
PLR.N0000,0.0,20,15,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
PMB.N0000,86.5,70,75,70,15,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
RAL.N0000,100.0,70,80,60,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
RCH.N0000,79.0,55,80,60,30,-15,Industrial,Strong Industrial management - solid capital allocation and value creation
RCL.N0000,27.0,5,80,70,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
REEF.N0000,20.0,70,15,25,10,-30,Industrial,"Poor Industrial management - value destruction, avoid"
RENU.N0000,66.0,55,70,60,30,-25,Industrial,Moderate Industrial management - acceptable but room for improvement
REXP.N0000,0.0,20,50,50,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
RFL.N0000,92.0,70,70,60,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
RGEM.N0000,28.5,20,70,65,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
RHL.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
RHL.X0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
RHTL.N0000,73.0,60,70,60,20,-10,Industrial,Strong Industrial management - solid capital allocation and value creation
RICH.N0000,37.0,25,70,70,20,-35,Industrial,"Poor Industrial management - value destruction, avoid"
RIL.N0000,100.0,85,80,85,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
RPBH.N0000,96.5,70,70,75,35,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
RWSL.N0000,100.0,85,80,95,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SAMP.N0000,100.0,85,90,95,50,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
SCAP.N0000,98.5,80,75,80,20,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
SDB.N0000,40.0,55,50,45,0,-10,Financial,"Weak Financial management - concerning trends, investigate"
SDF.N0000,55.0,70,35,55,20,-20,Financial,Moderate Financial management - acceptable but room for improvement
SEMB.N0000,50.0,60,80,60,20,0,Financial,"Weak Financial management - concerning trends, investigate"
SEMB.X0000,50.0,60,90,65,25,0,Financial,"Weak Financial management - concerning trends, investigate"
SERV.N0000,100.0,80,80,90,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SEYB.N0000,100.0,85,90,95,50,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
SEYB.X0000,100.0,85,80,90,45,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
SFCL.N0000,72.5,85,35,60,30,-20,Financial,Strong Financial management - solid capital allocation and value creation
SFCL.R0000,56.5,70,35,60,20,-20,Financial,Moderate Financial management - acceptable but room for improvement
SFIN.N0000,100.0,70,80,100,35,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
SHAW.N0000,95.5,60,80,75,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SHL.N0000,0.0,20,25,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
SHOT.N0000,100.0,70,80,65,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SHOT.X0000,100.0,70,80,65,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SIGV.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SIL.N0000,28.5,20,70,65,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
SING.N0000,34.5,70,25,30,10,-20,Industrial,"Poor Industrial management - value destruction, avoid"
SINH.N0000,100.0,70,90,95,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SINS.N0000,100.0,95,80,100,50,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SIRA.N0000,100.0,70,80,95,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SLND.N0000,16.5,35,45,30,0,-20,Industrial,"Poor Industrial management - value destruction, avoid"
SLTL.N0000,95.5,60,90,65,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SMOT.N0000,100.0,80,80,90,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SOY.N0000,91.5,70,60,85,30,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SPEN.N0000,73.0,60,70,60,20,-10,Industrial,Strong Industrial management - solid capital allocation and value creation
STAF.N0000,50.0,60,80,60,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
SUN.N0000,100.0,70,80,85,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
SWAD.N0000,0.0,25,35,35,0,-35,Industrial,"Poor Industrial management - value destruction, avoid"
TAFL.N0000,31.5,20,70,75,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
TAJ.N0000,31.5,20,70,75,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
TANG.N0000,100.0,70,80,65,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
TAP.N0000,100.0,80,80,100,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
TESS.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
TESS.X0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
